Date Stamped,Registrant Name,Registration Number,Document Type,Short Form Name,Foreign Principal Name,Foreign Principal Country,URL
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Bienstock, Hal",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-68.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Tropeano, Christopher",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-60.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Roussellier, Matthieu Jean-Robert Marie",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-48.pdf
11/7/2024,"Brownstein Hyatt Farber Schreck, LLP",5870,Short-Form,"Elshami, Nadeam",,,https://efile.fara.gov/docs/5870-Short-Form-20241107-446.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Butch, Kathleen Dillon",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-46.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"D'Onofrio, Katherine Potter",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-44.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Schwartz, Jonathan",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-38.pdf
11/7/2024,"Park, Jennifer",7335,Short-Form,"Bienstock, Hal",,,https://efile.fara.gov/docs/7335-Short-Form-20241107-4.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Etkind, Susan Diane",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-50.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Leavitt, Seth David",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-40.pdf
11/7/2024,"Brownstein Hyatt Farber Schreck, LLP",5870,Short-Form,"Elshami, Nadeam",,,https://efile.fara.gov/docs/5870-Short-Form-20241107-444.pdf
11/7/2024,Prosek LLC d/b/a Prosek Partners,7435,Short-Form,"Ki'vette, Andrew Wayde",,,https://efile.fara.gov/docs/7435-Short-Form-20241107-58.pdf
11/6/2024,"Miles Partnership, LLLP",7382,Short-Form,"Kuglitsch, Jordan",,,https://efile.fara.gov/docs/7382-Short-Form-20241106-99.pdf
11/1/2024,"DCI Group AZ, LLC",6278,Short-Form,"Grillo, Ryan",,,https://efile.fara.gov/docs/6278-Short-Form-20241101-126.pdf
11/1/2024,QORVIS LLC,5483,Short-Form,"Isgandarova, Maryam",,,https://efile.fara.gov/docs/5483-Short-Form-20241101-990.pdf
11/1/2024,"DCI Group AZ, LLC",6278,Short-Form,"Flaim, Sarah",,,https://efile.fara.gov/docs/6278-Short-Form-20241101-124.pdf
11/1/2024,QORVIS LLC,5483,Short-Form,"Sadler, William",,,https://efile.fara.gov/docs/5483-Short-Form-20241101-994.pdf
11/1/2024,QORVIS LLC,5483,Short-Form,"Nangong, Baihe",,,https://efile.fara.gov/docs/5483-Short-Form-20241101-986.pdf
11/1/2024,QORVIS LLC,5483,Short-Form,"Sadler, William",,,https://efile.fara.gov/docs/5483-Short-Form-20241101-988.pdf
10/31/2024,"KARV Communications, Inc.",6162,Short-Form,"Alford, Ahmari",,,https://efile.fara.gov/docs/6162-Short-Form-20241031-82.pdf
10/31/2024,Singapore Tourism Board,2414,Short-Form,"Teng, Sean Chi Yang",,,https://efile.fara.gov/docs/2414-Short-Form-20241031-118.pdf
10/31/2024,Singapore Tourism Board,2414,Short-Form,"Yamamoto, Elizabeth",,,https://efile.fara.gov/docs/2414-Short-Form-20241031-116.pdf
10/30/2024,Taiwan Democratic Progressive Party Mission in the U.S.,6187,Short-Form,"Fonte, Michael J.",,,https://efile.fara.gov/docs/6187-Short-Form-20241030-30.pdf
10/30/2024,Ballard Partners,7070,Short-Form,"Zaki, Jasmine",,,https://efile.fara.gov/docs/7070-Short-Form-20241030-60.pdf
10/30/2024,Taiwan Democratic Progressive Party Mission in the U.S.,6187,Short-Form,"Cheng-hui Chuang, Timothy",,,https://efile.fara.gov/docs/6187-Short-Form-20241030-26.pdf
10/30/2024,Taiwan Democratic Progressive Party Mission in the U.S.,6187,Short-Form,"Chen, Peng-Hsuan",,,https://efile.fara.gov/docs/6187-Short-Form-20241030-28.pdf
10/30/2024,"Goetsch, Robert",7485,Short-Form,"Goetsch, Robert Martin",,,https://efile.fara.gov/docs/7485-Short-Form-20241030-2.pdf
10/30/2024,Taiwan Democratic Progressive Party Mission in the U.S.,6187,Short-Form,"Chen, Peng-Hsuan",,,https://efile.fara.gov/docs/6187-Short-Form-20241030-36.pdf
10/30/2024,Ballard Partners,7070,Short-Form,"Lukis, Sylvester",,,https://efile.fara.gov/docs/7070-Short-Form-20241030-62.pdf
10/30/2024,Ballard Partners,7070,Short-Form,"Ballard, Brian",,,https://efile.fara.gov/docs/7070-Short-Form-20241030-64.pdf
10/30/2024,Taiwan Democratic Progressive Party Mission in the U.S.,6187,Short-Form,"Shaw, Sun-Wen",,,https://efile.fara.gov/docs/6187-Short-Form-20241030-32.pdf
10/29/2024,"Zeno Group, Inc.",6652,Short-Form,"Saunders, Margot Marie",,,https://efile.fara.gov/docs/6652-Short-Form-20241029-214.pdf
10/29/2024,Skyline Capitol LLC,7404,Short-Form,"Anderson, Liam",,,https://efile.fara.gov/docs/7404-Short-Form-20241029-20.pdf
10/29/2024,Skyline Capitol LLC,7404,Short-Form,"White, Clay",,,https://efile.fara.gov/docs/7404-Short-Form-20241029-18.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Cove, Patrick",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-4.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Stockslader, Lucas",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-8.pdf
10/28/2024,"NHK Cosmomedia America, Inc.",4490,Short-Form,"Sasayama, Ryo",,,https://efile.fara.gov/docs/4490-Short-Form-20241028-4.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Mulvey, Timothy Raymond",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-10.pdf
10/28/2024,"Squire Patton Boggs, LLP",2165,Short-Form,"Braithwaite, Dominic",,,https://efile.fara.gov/docs/2165-Short-Form-20241028-824.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Freeman, Carolyn",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-12.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Goff, Theodore",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-2.pdf
10/28/2024,"Precision Strategies, LLC",7483,Short-Form,"Krebs, Brian Charles",,,https://efile.fara.gov/docs/7483-Short-Form-20241028-6.pdf
10/26/2024,Munk Policy & Law PLLC,6609,Short-Form,"Munk, Jeffrey W",,,https://efile.fara.gov/docs/6609-Short-Form-20241026-2.pdf
10/24/2024,"Fleishman-Hillard, Inc.",5801,Short-Form,"Rose, Sheila",,,https://efile.fara.gov/docs/5801-Short-Form-20241024-386.pdf
10/24/2024,"Patino, Brewster & Partners",7236,Short-Form,"Brewster, James Wally",,,https://efile.fara.gov/docs/7236-Short-Form-20241024-12.pdf
10/24/2024,"Patino, Brewster & Partners",7236,Short-Form,"Patino, Ralph",,,https://efile.fara.gov/docs/7236-Short-Form-20241024-10.pdf
10/23/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Phillips, Tim",,,https://efile.fara.gov/docs/7267-Short-Form-20241023-36.pdf
10/23/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Fuller, Jason",,,https://efile.fara.gov/docs/7267-Short-Form-20241023-38.pdf
10/22/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Wilson, Robert",,,https://efile.fara.gov/docs/7267-Short-Form-20241022-28.pdf
10/22/2024,Navigators Global LLC,7112,Short-Form,"Pitts, James L.",,,https://efile.fara.gov/docs/7112-Short-Form-20241022-38.pdf
10/22/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Gilmore, Lauren",,,https://efile.fara.gov/docs/7267-Short-Form-20241022-26.pdf
10/22/2024,Navigators Global LLC,7112,Short-Form,"Rogers, Sarah",,,https://efile.fara.gov/docs/7112-Short-Form-20241022-40.pdf
10/22/2024,"The Whitaker Group, Inc.",7482,Short-Form,"Whitaker, Rosa M.",,,https://efile.fara.gov/docs/7482-Short-Form-20241022-2.pdf
10/22/2024,"The Whitaker Group, Inc.",7482,Short-Form,"Zeleke, Mekete Mike",,,https://efile.fara.gov/docs/7482-Short-Form-20241022-4.pdf
10/22/2024,"Crowell & Moring International, LLC",3988,Short-Form,"Damond, Joseph",,,https://efile.fara.gov/docs/3988-Short-Form-20241022-50.pdf
10/22/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Jolly, Stuart",,,https://efile.fara.gov/docs/7267-Short-Form-20241022-30.pdf
10/22/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Guice, Stephen",,,https://efile.fara.gov/docs/7267-Short-Form-20241022-34.pdf
10/22/2024,"Hyperfocal Communications, LLC",7267,Short-Form,"Guice, Stephen",,,https://efile.fara.gov/docs/7267-Short-Form-20241022-32.pdf
10/22/2024,"Daniel J. Edelman, Inc.",3634,Short-Form,"Scott, Maia-Lin Audrey",,,https://efile.fara.gov/docs/3634-Short-Form-20241022-1515.pdf
10/21/2024,Arnold & Porter Kaye Scholer LLP,1750,Short-Form,"Poehlitz, Christina",,,https://efile.fara.gov/docs/1750-Short-Form-20241021-338.pdf
10/21/2024,"Commonwealth of Dominica Maritime Registry, Inc.",5334,Short-Form,"Franz, Ahmad",,,https://efile.fara.gov/docs/5334-Short-Form-20241021-448.pdf
10/21/2024,"Cotchett, Pitre & McCarthy, LLP",7480,Short-Form,"Redenbarger, Tyson C",,,https://efile.fara.gov/docs/7480-Short-Form-20241021-4.pdf
10/21/2024,"Cotchett, Pitre & McCarthy, LLP",7480,Short-Form,"McCarthy, Niall P.",,,https://efile.fara.gov/docs/7480-Short-Form-20241021-2.pdf
10/21/2024,World Professionals Group LLC d/b/a WP Group,7481,Short-Form,"Arroyo-Colon, Luis Balbino",,,https://efile.fara.gov/docs/7481-Short-Form-20241021-2.pdf
10/21/2024,World Professionals Group LLC d/b/a WP Group,7481,Short-Form,"Lopez, Carlos Lopez",,,https://efile.fara.gov/docs/7481-Short-Form-20241021-8.pdf
10/21/2024,"Independent Diplomat, Inc.",5860,Short-Form,"Yeganeh, Aaron",,,https://efile.fara.gov/docs/5860-Short-Form-20241021-126.pdf
10/21/2024,World Professionals Group LLC d/b/a WP Group,7481,Short-Form,"Baco-Sanchez, Luis Eduardo",,,https://efile.fara.gov/docs/7481-Short-Form-20241021-4.pdf
10/21/2024,"Fleishman-Hillard, Inc.",5801,Short-Form,"Hart, Colin M",,,https://efile.fara.gov/docs/5801-Short-Form-20241021-382.pdf
10/21/2024,"Commonwealth of Dominica Maritime Registry, Inc.",5334,Short-Form,"Tourneur, Marianvel",,,https://efile.fara.gov/docs/5334-Short-Form-20241021-444.pdf
10/21/2024,"Independent Diplomat, Inc.",5860,Short-Form,"Spoerri, Marlene",,,https://efile.fara.gov/docs/5860-Short-Form-20241021-122.pdf
10/21/2024,Korea Economic Institute,3327,Short-Form,"Osterberg, Nils Fredrik Wollesen",,,https://efile.fara.gov/docs/3327-Short-Form-20241021-114.pdf
10/21/2024,"Cotchett, Pitre & McCarthy, LLP",7480,Short-Form,"Boutin, Kevin J",,,https://efile.fara.gov/docs/7480-Short-Form-20241021-8.pdf
10/21/2024,"Cotchett, Pitre & McCarthy, LLP",7480,Short-Form,"Park, Grace Y",,,https://efile.fara.gov/docs/7480-Short-Form-20241021-6.pdf
10/21/2024,"Fleishman-Hillard, Inc.",5801,Short-Form,"Jada, Amanda",,,https://efile.fara.gov/docs/5801-Short-Form-20241021-380.pdf
10/21/2024,"Commonwealth of Dominica Maritime Registry, Inc.",5334,Short-Form,"Tourneur, Frank",,,https://efile.fara.gov/docs/5334-Short-Form-20241021-446.pdf
10/21/2024,World Professionals Group LLC d/b/a WP Group,7481,Short-Form,"Maldonado, Onix",,,https://efile.fara.gov/docs/7481-Short-Form-20241021-6.pdf
10/21/2024,"Independent Diplomat, Inc.",5860,Short-Form,"Yeganeh, Aaron",,,https://efile.fara.gov/docs/5860-Short-Form-20241021-124.pdf
10/21/2024,"The Bennett Group DC, LLC",7479,Short-Form,"Stewart, Timothy",,,https://efile.fara.gov/docs/7479-Short-Form-20241021-2.pdf
10/21/2024,"Independent Diplomat, Inc.",5860,Short-Form,"Yeganeh, Aaron",,,https://efile.fara.gov/docs/5860-Short-Form-20241021-120.pdf
10/19/2024,"Team Eagle Consulting, LLC",7477,Short-Form,"Payne, Stephen",,,https://efile.fara.gov/docs/7477-Short-Form-20241019-2.pdf
10/19/2024,"Team Eagle Consulting, LLC",7477,Short-Form,"Somera, Logan",,,https://efile.fara.gov/docs/7477-Short-Form-20241019-4.pdf
10/18/2024,The Cormac Group LLC,7406,Short-Form,"Link, James E",,,https://efile.fara.gov/docs/7406-Short-Form-20241018-10.pdf
10/18/2024,The Cormac Group LLC,7406,Short-Form,"Slade, Jonathan",,,https://efile.fara.gov/docs/7406-Short-Form-20241018-8.pdf
10/17/2024,"StorySquad Media, LLC",7476,Short-Form,"Sattler, Casey Murray",,,https://efile.fara.gov/docs/7476-Short-Form-20241017-2.pdf
10/17/2024,"StorySquad Media, LLC",7476,Short-Form,"Babarovic, Christina Maria",,,https://efile.fara.gov/docs/7476-Short-Form-20241017-6.pdf
10/17/2024,"StorySquad Media, LLC",7476,Short-Form,"Sudmeier, Philip Michael",,,https://efile.fara.gov/docs/7476-Short-Form-20241017-4.pdf
10/16/2024,Access Partnership Corp,7475,Short-Form,"Marulanda, Johan",,,https://efile.fara.gov/docs/7475-Short-Form-20241016-10.pdf
10/16/2024,Access Partnership Corp,7475,Short-Form,"Smith, Spencer",,,https://efile.fara.gov/docs/7475-Short-Form-20241016-8.pdf
10/16/2024,Access Partnership Corp,7475,Short-Form,"MacFarlane, Ryan",,,https://efile.fara.gov/docs/7475-Short-Form-20241016-6.pdf
10/16/2024,Access Partnership Corp,7475,Short-Form,"Wu, Patricia",,,https://efile.fara.gov/docs/7475-Short-Form-20241016-4.pdf
10/16/2024,Access Partnership Corp,7475,Short-Form,"Yu, Evan",,,https://efile.fara.gov/docs/7475-Short-Form-20241016-2.pdf
10/16/2024,"Rational 360, Inc.",7369,Short-Form,"McHale, Sean",,,https://efile.fara.gov/docs/7369-Short-Form-20241016-26.pdf
10/15/2024,DLA Piper US LLP,3712,Short-Form,"Newcomb, Robert Richard",,,https://efile.fara.gov/docs/3712-Short-Form-20241015-540.pdf
10/15/2024,Burke Consulting LLC,7473,Short-Form,"Burke, Elizabeth",,,https://efile.fara.gov/docs/7473-Short-Form-20241015-2.pdf
10/15/2024,DLA Piper US LLP,3712,Short-Form,"Levinson, Lawrence E.",,,https://efile.fara.gov/docs/3712-Short-Form-20241015-538.pdf
10/15/2024,DLA Piper US LLP,3712,Short-Form,"Samra, Harout",,,https://efile.fara.gov/docs/3712-Short-Form-20241015-536.pdf
10/10/2024,Portland PR Inc.,6064,Short-Form,"Tewelde, Delina",,,https://efile.fara.gov/docs/6064-Short-Form-20241010-130.pdf
10/10/2024,"Daniel J. Edelman, Inc.",3634,Short-Form,"Scott, Maia-Lin Audrey",,,https://efile.fara.gov/docs/3634-Short-Form-20241010-1513.pdf
10/9/2024,"Zeno Group, Inc.",6652,Short-Form,"Patrone, Emma",,,https://efile.fara.gov/docs/6652-Short-Form-20241009-212.pdf
10/9/2024,Brunswick Group LLC,6826,Short-Form,"Walsh, Claire",,,https://efile.fara.gov/docs/6826-Short-Form-20241009-82.pdf
10/9/2024,Brunswick Group LLC,6826,Short-Form,"N'Choh, Sidje",,,https://efile.fara.gov/docs/6826-Short-Form-20241009-80.pdf
10/9/2024,Brunswick Group LLC,6826,Short-Form,"Sidwell, Charlotte",,,https://efile.fara.gov/docs/6826-Short-Form-20241009-84.pdf
10/9/2024,"Squire Patton Boggs, LLP",2165,Short-Form,"Swanson, Stacy",,,https://efile.fara.gov/docs/2165-Short-Form-20241009-822.pdf
10/9/2024,Brunswick Group LLC,6826,Short-Form,"Flanagan, Eleanor",,,https://efile.fara.gov/docs/6826-Short-Form-20241009-86.pdf
10/8/2024,"PLUS Communications, LLC",7107,Short-Form,"Haro, Steven",,,https://efile.fara.gov/docs/7107-Short-Form-20241008-10.pdf
10/8/2024,"PLUS Communications, LLC",7107,Short-Form,"Farnaso, Kenneth",,,https://efile.fara.gov/docs/7107-Short-Form-20241008-6.pdf
10/8/2024,"PLUS Communications, LLC",7107,Short-Form,"Orlando, Jaclyn",,,https://efile.fara.gov/docs/7107-Short-Form-20241008-8.pdf
10/7/2024,"Squire Patton Boggs, LLP",2165,Short-Form,"Schnittger, David",,,https://efile.fara.gov/docs/2165-Short-Form-20241007-816.pdf
10/7/2024,"Squire Patton Boggs, LLP",2165,Short-Form,"Emery, Rodney",,,https://efile.fara.gov/docs/2165-Short-Form-20241007-818.pdf
10/7/2024,"Gibson, Dunn & Crutcher LLP",7454,Short-Form,"Brooker, Stephanie",,,https://efile.fara.gov/docs/7454-Short-Form-20241007-22.pdf
10/7/2024,"Gibson, Dunn & Crutcher LLP",7454,Short-Form,"Brooker, Stephanie",,,https://efile.fara.gov/docs/7454-Short-Form-20241007-20.pdf
10/7/2024,"Gibson, Dunn & Crutcher LLP",7454,Short-Form,"Brooker, Stephanie",,,https://efile.fara.gov/docs/7454-Short-Form-20241007-18.pdf
10/7/2024,"Gibson, Dunn & Crutcher LLP",7454,Short-Form,"Brooker, Stephanie",,,https://efile.fara.gov/docs/7454-Short-Form-20241007-24.pdf
10/4/2024,Skyline Capitol LLC,7404,Short-Form,"Anderson, Liam",,,https://efile.fara.gov/docs/7404-Short-Form-20241004-14.pdf
10/4/2024,"Crowell & Moring International, LLC",3988,Short-Form,"Reid, Zoe",,,https://efile.fara.gov/docs/3988-Short-Form-20241004-48.pdf
10/4/2024,Skyline Capitol LLC,7404,Short-Form,"White, Clay",,,https://efile.fara.gov/docs/7404-Short-Form-20241004-16.pdf
10/4/2024,NSW Government US Office Inc.,7145,Short-Form,"McPhee, Rebecca",,,https://efile.fara.gov/docs/7145-Short-Form-20241004-52.pdf
10/4/2024,NSW Government US Office Inc.,7145,Short-Form,"Walker, Simone",,,https://efile.fara.gov/docs/7145-Short-Form-20241004-50.pdf
10/3/2024,"Brownstein Hyatt Farber Schreck, LLP",5870,Short-Form,"Pryor, Mark",,,https://efile.fara.gov/docs/5870-Short-Form-20241003-442.pdf
10/3/2024,"Brownstein Hyatt Farber Schreck, LLP",5870,Short-Form,"Usyk, Andrew",,,https://efile.fara.gov/docs/5870-Short-Form-20241003-440.pdf
10/2/2024,Development Counsellors International,4777,Short-Form,"Deloffre, Rachel",,,https://efile.fara.gov/docs/4777-Short-Form-20241002-70.pdf
10/2/2024,Development Counsellors International,4777,Short-Form,"Curren, Dariel",,,https://efile.fara.gov/docs/4777-Short-Form-20241002-68.pdf
10/2/2024,"Zeno Group, Inc.",6652,Short-Form,"Haarsgaard, Elizabeth",,,https://efile.fara.gov/docs/6652-Short-Form-20241002-210.pdf
10/1/2024,Arnold & Porter Kaye Scholer LLP,1750,Short-Form,"Lax, Meir",,,https://efile.fara.gov/docs/1750-Short-Form-20241001-334.pdf
10/1/2024,Arnold & Porter Kaye Scholer LLP,1750,Short-Form,"Linder, Sara G.",,,https://efile.fara.gov/docs/1750-Short-Form-20241001-332.pdf
10/1/2024,Venn Strategies,7472,Short-Form,"Olson, Erik",,,https://efile.fara.gov/docs/7472-Short-Form-20241001-2.pdf
10/1/2024,Venn Strategies,7472,Short-Form,"MacGillivray, Doug",,,https://efile.fara.gov/docs/7472-Short-Form-20241001-4.pdf
10/1/2024,Arnold & Porter Kaye Scholer LLP,1750,Short-Form,"Amar, Shlomo",,,https://efile.fara.gov/docs/1750-Short-Form-20241001-336.pdf
9/30/2024,QORVIS LLC,5483,Short-Form,"Sydorov, Yevgeniy",,,https://efile.fara.gov/docs/5483-Short-Form-20240930-982.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"deVignier-Awad, Samuel",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-14.pdf
9/30/2024,QORVIS LLC,5483,Short-Form,"Klapper, Bradley",,,https://efile.fara.gov/docs/5483-Short-Form-20240930-980.pdf
9/30/2024,USSA International LLC,7252,Short-Form,"Nassif, Marc",,,https://efile.fara.gov/docs/7252-Short-Form-20240930-20.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Work, Clint",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-16.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Ahn, Ji Yeon",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-6.pdf
9/30/2024,"JETRO, New York",1643,Short-Form,"Nakajima, Katsuhiro",,,https://efile.fara.gov/docs/1643-Short-Form-20240930-460.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Hong, Andy",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-8.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Brown, William",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-4.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Heon Kim, Je",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-2.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Chung, Rosa",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-18.pdf
9/30/2024,"MediaLinks TV, LLC",6633,Short-Form,"He, Jingya",,,https://efile.fara.gov/docs/6633-Short-Form-20240930-26.pdf
9/30/2024,"MediaLinks TV, LLC",6633,Short-Form,"Liao, Jibo",,,https://efile.fara.gov/docs/6633-Short-Form-20240930-24.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Snyder, Scott",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-20.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Pressley, Mai",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-10.pdf
9/30/2024,Korea Economic Institute of America,7471,Short-Form,"Ramage, Tom",,,https://efile.fara.gov/docs/7471-Short-Form-20240930-12.pdf
9/27/2024,Steptoe LLP,6653,Short-Form,"Simpson, William",,,https://efile.fara.gov/docs/6653-Short-Form-20240927-68.pdf
9/27/2024,Steptoe LLP,6653,Short-Form,"Coonan, Anni",,,https://efile.fara.gov/docs/6653-Short-Form-20240927-64.pdf
9/27/2024,Steptoe LLP,6653,Short-Form,"Hopkins, Karl",,,https://efile.fara.gov/docs/6653-Short-Form-20240927-66.pdf
9/27/2024,Steptoe LLP,6653,Short-Form,"Flynn, Matthew",,,https://efile.fara.gov/docs/6653-Short-Form-20240927-62.pdf
9/27/2024,Steptoe LLP,6653,Short-Form,"Mahle, Melissa Boyle",,,https://efile.fara.gov/docs/6653-Short-Form-20240927-70.pdf
9/27/2024,Capital HQ LLC,7470,Short-Form,"Rath, Megan Ann",,,https://efile.fara.gov/docs/7470-Short-Form-20240927-6.pdf
9/27/2024,Capital HQ LLC,7470,Short-Form,"Mocarski, Ashley D.",,,https://efile.fara.gov/docs/7470-Short-Form-20240927-4.pdf
9/27/2024,Capital HQ LLC,7470,Short-Form,"Preate, Alexandra Vivian",,,https://efile.fara.gov/docs/7470-Short-Form-20240927-2.pdf
9/25/2024,APCO Worldwide LLC,6582,Short-Form,"Auger, Karina",,,https://efile.fara.gov/docs/6582-Short-Form-20240925-280.pdf
9/25/2024,APCO Worldwide LLC,6582,Short-Form,"Carmignac, Coline",,,https://efile.fara.gov/docs/6582-Short-Form-20240925-278.pdf
9/25/2024,Moroccan National Tourist Office,1793,Short-Form,"Alami, Mouna El",,,https://efile.fara.gov/docs/1793-Short-Form-20240925-40.pdf
9/25/2024,Moroccan National Tourist Office,1793,Short-Form,"Bahi, Meriam El",,,https://efile.fara.gov/docs/1793-Short-Form-20240925-26.pdf
9/25/2024,Moroccan National Tourist Office,1793,Short-Form,"Azim, Fouad",,,https://efile.fara.gov/docs/1793-Short-Form-20240925-22.pdf
9/25/2024,White Star Business Group LLC,7468,Short-Form,"Elmi, Amira",,,https://efile.fara.gov/docs/7468-Short-Form-20240925-6.pdf
9/25/2024,White Star Business Group LLC,7468,Short-Form,"Andre Jr., Larry",,,https://efile.fara.gov/docs/7468-Short-Form-20240925-4.pdf
9/25/2024,White Star Business Group LLC,7468,Short-Form,"Abdalla, Malik",,,https://efile.fara.gov/docs/7468-Short-Form-20240925-2.pdf
9/25/2024,Moroccan National Tourist Office,1793,Short-Form,"Massi, Abdelmoula",,,https://efile.fara.gov/docs/1793-Short-Form-20240925-28.pdf
9/25/2024,Moroccan National Tourist Office,1793,Short-Form,"Fettouhi, Siham",,,https://efile.fara.gov/docs/1793-Short-Form-20240925-24.pdf
